n,alpha,beta,p,trials,success_count,monte_carlo_probability,exact_binomial_probability,chernoff_upper_bound,depends_on_m
10,0.05,0.06,0.3,50000,1373,0.02746,0.02824752489999998,0.1643999779287187,False
20,0.05,0.06,0.3,50000,337,0.00674,0.007637259774199997,0.027027352742963192,False
30,0.05,0.06,0.3,50000,19,0.00038,0.00031233085831387786,0.0044432961944148456,False
40,0.05,0.06,0.3,50000,6,0.00012,0.00010276544237352935,0.00073047779629256,False
50,0.05,0.06,0.3,50000,1,2e-05,3.2197662734939e-05,0.00012009053358791589,False
60,0.05,0.06,0.3,50000,0,0.0,1.547190204118945e-06,1.974288107130145e-05,False
70,0.05,0.06,0.3,50000,0,0.0,5.125355808094912e-07,3.2457292123712746e-06,False
80,0.05,0.06,0.3,50000,0,0.0,2.449976134447312e-08,5.335978108764348e-07,False
90,0.05,0.06,0.3,50000,0,0.0,8.377794974568563e-09,8.772346833089861e-08,False
100,0.05,0.06,0.3,50000,0,0.0,2.7884180388493965e-09,1.4421736257430353e-08,False
110,0.05,0.06,0.3,50000,0,0.0,1.393717773526716e-10,2.3709331224153554e-09,False
120,0.05,0.06,0.3,50000,0,0.0,4.740140875344539e-11,3.8978135299555305e-10,False
130,0.05,0.06,0.3,50000,0,0.0,2.3477254974858e-12,6.408004582949489e-11,False
140,0.05,0.06,0.3,50000,0,0.0,8.113234404925008e-13,1.0534758120040257e-11,False
150,0.05,0.06,0.3,50000,0,0.0,2.7526923191729783e-13,1.7319140024190042e-12,False
160,0.05,0.06,0.3,50000,0,0.0,1.3965048894076804e-14,2.8472662377212355e-13,False
170,0.05,0.06,0.3,50000,0,0.0,4.7995150497145606e-15,4.680905066385576e-14,False
180,0.05,0.06,0.3,50000,0,0.0,2.415030703517163e-16,7.695406896002173e-15,False
190,0.05,0.06,0.3,50000,0,0.0,8.387299245222455e-17,1.2651247238552639e-15,False
200,0.05,0.06,0.3,50000,0,0.0,2.8726600567848823e-17,2.0798647667888126e-16,False
